,title,address,district,devname,price,area,ppf,region
0,Lake Silver・Tower 5 Low Floor・FLAT G,599 SAI SHA ROAD,Wu Kai Sha,SINO/MTR,9.7,700,13857.0,NT West
1,SERENO VERDE・Phase 1・BLOCK 2 High Floor,99 TAI TONG ROAD,Yuen Long Southeast,HENDERSON/NEW WORLD,5.8,561,10339.0,NT West
2,FICUS GARDEN,11 LOK KING STREET,Fo Tan,,8.0,643,12442.0,NT East
3,Tuen Mun Town Plaza,TUEN LUNG STREET,Tuen Mun Town Centre,,3.2,327,9786.0,NT West
4,PARK ISLAND・PHASE 5 OCEANCREST・TOWER 29,8 PAK LAI ROAD,Ma Wan,SUN HUNG KAI,28.0,1464,19126.0,NT West
5,LUK YEUNG SUN CHUEN・BLOCK C Low Floor・FLAT 1,22-66 WAI TSUEN ROAD,Luk Yeung,HONG KONG LAND/MTR/KIU KWAN EST/JARDINE MATHESON,6.8,582,11684.0,NT West
6,City Point・Block 6 FLAT E,48 WING SHUN STREET,Tsuen Wan West,MTR/CHEUNG KONG,8.5,699,12160.0,NT West
7,MAYFAIR BY THE SEA Low Floor・FLAT B,FO CHUN ROAD,Pak Shek Kok,SINO,13.8,1217,11339.0,NT East
8,MERRY GARDEN Middle Floor・FLAT 3,90 KENNEDY ROAD,Mid-Levels Central,,17.5,975,17949.0,HK Island
9,Sereno Verde・Phase 4 La Pradera・Tower 12,99 TAI TONG ROAD,Yuen Long Southeast,HENDERSON/NEW WORLD,3.98,501,7944.0,NT West
10,KINGSWOOD VILLAS・PHASE 2 SHERWOOD COURT Low Floor・FLAT F,3 TIN WU ROAD,Tin Shui Wai,CHEUNG KONG,3.8,449,8463.0,NT West
11,FESTIVAL CITY・Phase 2・TOWER 2 High Floor・FLAT NB,1 MEI TIN ROAD,Tai Wai,MTR/CHEUNG KONG,13.8,958,14405.0,NT East
12,SHUN FUNG BUILDING Low Floor,9 FUNG YAU STREET NORTH,Yuen Long Town Centre,,4.48,401,11172.0,NT West
13,The Riverpark Low Floor・FLAT F,8 CHE KUNG MIU ROAD,Tai Wai,NEW WORLD,8.38,507,16529.0,NT East
14,PRIME VIEW GARDEN High Floor,KING FUNG PATH,Tuen Mun San Hui,HONG KONG HOUSING AUTHORITY/NEW WORLD,3.3,480,6875.0,NT West
15,Discovery Park・Phase 2・Block 8 Low Floor・FLAT A,398 CASTLE PEAK ROAD TSUEN WAN,Discovery Park,,7.78,659,11806.0,NT West
16,VISALIA GARDEN Middle Floor・FLAT B,48 MACDONNELL ROAD,Mid-Levels Central,,55.5,1848,30032.0,HK Island
17,DISCOVERY PARK・PHASE 1・BLOCK 4,398 CASTLE PEAK ROAD TSUEN WAN,Discovery Park,,3.55,474,7489.0,NT West
18,YOHO TOWN・Phase 1・BLOCK 6 Low Floor・FLAT C,8 YUEN LUNG STREET,Yuen Long Station,SUN HUNG KAI,5.2,411,12652.0,NT West
19,TSEUNG KWAN O PLAZA・PHASE 1・TOWER 3A Low Floor・FLAT F,1 TONG TAK STREET,Tseung Kwan O,NAN FUNG,6.2,456,13596.0,Kowloon
20,Grand Central・PHASE 2・Tower 3 Middle Floor・FLAT A,33 HIP WO STREET,Kwun Tong,URBAN RENEWAL AUTHORITY/SINO/CHINESE ESTATES HOLDING,14.5,832,17428.0,Kowloon
21,MAYFAIR BY THE SEA・II High Floor,21 FO CHUN ROAD,Pak Shek Kok,SINO,45.0,1713,26270.0,NT East
22,COASTAL SKYLINE・PHASE 1・BLOCK 1 Low Floor,12 TUNG CHUNG WATERFRONT ROAD,Tung Chung Town Centre,HKR INTERNATIONAL/MTR/RECO TUNG CHUNG/HONG LEONG,6.5,592,10980.0,NT West
23,OCEAN PRIDE・Phase 3A Ocean Supreme・TOWER 3A Low Floor・FLAT D,100 TAI HO ROAD,Tsuen Wan West,MTR/CHEUNG KONG,15.7,820,19146.0,NT West
