Property,Price,S.A.,District
PRIME VIEW GARDEN,3.3M,S.A.,Tuen Mun San Hui
YOHO TOWN Phase 1 BLOCK 6,5.2M,480ft²,Yuen Long Station
LUK YEUNG SUN CHUEN BLOCK C,6.8M,/ft²,Luk Yeung
Discovery Park Phase 2 Block 8,7.78M,(Prem. paid),Discovery Park
PARK ISLAND PHASE 5 OCEANCREST TOWER 29,28M,GFA,Ma Wan
FICUS GARDEN,8M,543ft²,Fo Tan
Sereno Verde Phase 4 La Pradera Tower 12,3.98M,/ft²,Yuen Long Southeast
Grand Central PHASE 2 Tower 3,14.5M,(Prem. paid),Kwun Tong
DISCOVERY PARK PHASE 1 BLOCK 4,3.55M,Sell,Discovery Park
VISALIA GARDEN,55.5M,S.A.,Mid-Levels Central
Tuen Mun Town Plaza,3.2M,411ft²,Tuen Mun Town Centre
FESTIVAL CITY Phase 2 TOWER 2,13.8M,/ft²,Tai Wai
SERENO VERDE Phase 1 BLOCK 2,5.8M,GFA,Yuen Long Southeast
The Riverpark,8.38M,552ft²,Tai Wai
KINGSWOOD VILLAS PHASE 2 SHERWOOD COURT,3.8M,/ft²,Tin Shui Wai
City Point Block 6,8.5M,Sell,Tsuen Wan West
SHUN FUNG BUILDING,4.48M,S.A.,Yuen Long Town Centre
MERRY GARDEN,17.5M,582ft²,Mid-Levels Central
OCEAN PRIDE Phase 3A Ocean Supreme TOWER 3A,15.7M,/ft²,Tsuen Wan West
TSEUNG KWAN O PLAZA PHASE 1 TOWER 3A,6.2M,GFA,Tseung Kwan O
MAYFAIR BY THE SEA,13.8M,671ft²,Pak Shek Kok
COASTAL SKYLINE PHASE 1 BLOCK 1,6.5M,/ft²,Tung Chung Town Centre
MAYFAIR BY THE SEA II,45M,Sell,Pak Shek Kok
Lake Silver Tower 5,9.7M,S.A.,Wu Kai Sha
