,title,address,district,devname,price,area,additional_info
0,MAYFAIR BY THE SEA Low Floor・FLAT B,FO CHUN ROAD,Pak Shek Kok,SINO,$13.8M,"1,217",KeyPet friendly
1,OCEAN PRIDE・Phase 3A Ocean Supreme・TOWER 3A Low Floor・FLAT D,100 TAI HO ROAD,Tsuen Wan West,MTR/CHEUNG KONG,$15.7M,820,Key
2,Sereno Verde・Phase 4 La Pradera・Tower 12,99 TAI TONG ROAD,Yuen Long Southeast,HENDERSON/NEW WORLD,$3.98M,501,Key
3,The Riverpark Low Floor・FLAT F,8 CHE KUNG MIU ROAD,Tai Wai,NEW WORLD,$8.38M,507,Pet friendly
4,City Point・BLOCK 6 FLAT E,48 WING SHUN STREET,Tsuen Wan West,MTR/CHEUNG KONG,$8.5M,699,KeyPet friendly
5,Lake Silver・Tower 5 Low Floor・FLAT G,599 SAI SHA ROAD,Wu Kai Sha,SINO/MTR,$9.7M,700,KeyPet friendly
6,PARK ISLAND・PHASE 5 OCEANCREST・TOWER 29,8 PAK LAI ROAD,Ma Wan,SUN HUNG KAI,$28M,"1,464",Key
7,MAYFAIR BY THE SEA・II High Floor,21 FO CHUN ROAD,Pak Shek Kok,SINO,$45M,"1,713",KeyPet friendly
8,COASTAL SKYLINE・PHASE 1・BLOCK 1 Low Floor,12 TUNG CHUNG WATERFRONT ROAD,Tung Chung Town Centre,HKR INTERNATIONAL/MTR/RECO TUNG CHUNG/HONG LEONG,$6.5M,592,ExclusiveKey
9,Discovery Park・Phase 2・Block 8 Low Floor・FLAT A,398 CASTLE PEAK ROAD TSUEN WAN,Discovery Park,,$7.78M,659,Key
10,WETLAND SEASONS PARK・Phase 1・TOWER 21 High Floor・FLAT A2,9 WETLAND PARK ROAD,Tin Shui Wai,SUN HUNG KAI,$6.58M,540,KeyPet friendly
11,SHUN FUNG BUILDING Low Floor,9 FUNG YAU STREET NORTH,Yuen Long Town Centre,,$4.48M,401,Exclusive
12,YOHO TOWN・Phase 1・BLOCK 6 Low Floor・FLAT C,8 YUEN LUNG STREET,Yuen Long Station,SUN HUNG KAI,$5.2M,411,Key
13,FICUS GARDEN,11 LOK KING STREET,Fo Tan,,$8M,643,KeyPet friendly
14,Tuen Mun Town Plaza,TUEN LUNG STREET,Tuen Mun Town Centre,,$3.2M,327,Key
15,DISCOVERY PARK・PHASE 1・BLOCK 4,398 CASTLE PEAK ROAD TSUEN WAN,Discovery Park,,$3.55M,474,Key
16,VISALIA GARDEN Middle Floor・FLAT B,48 MACDONNELL ROAD,Mid-Levels Central,,$55.5M,"1,848",ExclusiveKeyManagers' Choice
17,FESTIVAL CITY・Phase 2・TOWER 2 High Floor・FLAT NB,1 MEI TIN ROAD,Tai Wai,MTR/CHEUNG KONG,$13.8M,958,Key
18,Grand Central・PHASE 2・Tower 3 Middle Floor・FLAT A,33 HIP WO STREET,Kwun Tong,URBAN RENEWAL AUTHORITY/SINO/CHINESE ESTATES HOLDING,$14.5M,832,Key
19,TSEUNG KWAN O PLAZA・PHASE 1・TOWER 3A Low Floor・FLAT F,1 TONG TAK STREET,Tseung Kwan O,NAN FUNG,$6.2M,456,KeyManagers' Choice
20,MERRY GARDEN Middle Floor・FLAT 3,90 KENNEDY ROAD,Mid-Levels Central,,$17.5M,975,ExclusiveKeyWith CarparkPet friendly
21,LUK YEUNG SUN CHUEN・BLOCK C Low Floor・FLAT 1,22-66 WAI TSUEN ROAD,Luk Yeung,HONG KONG LAND/MTR/KIU KWAN EST/JARDINE MATHESON,$6.8M,582,Exclusive
22,KINGSWOOD VILLAS・PHASE 2 SHERWOOD COURT Low Floor・FLAT F,3 TIN WU ROAD,Tin Shui Wai,CHEUNG KONG,$3.8M,449,KeyManagers' Choice
23,SERENO VERDE・Phase 1・BLOCK 2 High Floor,99 TAI TONG ROAD,Yuen Long Southeast,HENDERSON/NEW WORLD,$5.8M,561,Key
